id,GM.25,GM.26,GM.27,GM.29,GM.30,GM.31,GM.33,GM.34,GM.37,GM.38,GM.39,LP.01,LP.02,LP.03,LP.04,LP.06,LP.07,LP.08,LP.09,PD.10,PD.11,PD.12,PD.13,PD.14,PD.15,PD.16,PD.21,PD.22,PD.23,PD.24,VD.51,VD.52,VD.53,VD.54,VD.55,VD.56,VD.57,VD.58
c140,83,73,67,46,212,181,125,58,65,85,86,50,120,35,26,8,73,55,74,59,77,81,11,36,0,51,104,76,69,44,322,72,22,158,70,53,67,103
c141,4,4,3,0,7,0,2,2,4,1,2,12,0,1,0,0,1,4,6,1,2,3,0,1,0,1,4,2,0,0,9,0,0,7,33,1,0,3
c142,96,51,20,23,168,152,83,62,20,76,67,5,0,16,107,1,103,58,138,24,66,51,91,24,108,44,69,24,26,50,212,41,42,160,106,26,234,56
c143_fragment1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c143_fragment2,0,0,0,3,9,0,0,0,0,0,1,4,0,0,4,0,0,0,0,1,1,0,0,0,58,0,0,0,0,0,2,3,0,0,0,0,0,1
c144,18,3,4,15,30,32,5,6,14,12,23,4,0,3,19,2,9,6,14,9,14,6,0,4,0,8,6,13,15,10,71,17,5,17,0,4,0,17
c145,45,40,29,9,103,109,39,41,16,52,36,0,0,33,21,13,37,41,68,21,45,42,15,22,0,28,38,52,20,53,180,45,21,122,65,45,42,39
c146,14,7,9,8,38,45,7,17,2,10,15,35,0,0,24,0,1,9,14,3,22,6,0,5,0,13,5,14,4,9,52,17,0,16,5,10,24,9
c147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
c148,4,5,2,5,21,8,4,7,13,11,4,0,0,2,0,0,11,8,12,1,9,0,0,3,0,5,13,4,6,0,37,1,15,5,0,3,34,12
c149,5,7,1,0,9,0,3,1,1,1,0,0,0,1,3,0,0,0,0,3,1,1,0,0,0,1,1,0,2,0,4,0,0,0,0,2,0,1
c150,34,13,24,26,67,8,30,15,18,32,20,5,0,2,37,11,10,6,31,6,16,12,85,10,0,20,26,8,17,20,89,15,0,53,26,19,32,23
c151,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
c152,23,9,1,2,34,28,1,3,2,9,10,20,58,16,5,5,2,5,18,3,9,4,30,1,0,2,6,2,0,2,21,6,14,13,0,6,0,0
c153,1,1,0,2,3,0,0,2,3,2,6,19,0,0,14,0,4,0,2,4,0,0,0,0,0,0,7,0,4,4,5,2,0,0,8,2,0,2
c154,50,19,14,7,54,32,20,14,11,8,8,1,1,1,36,0,21,20,55,4,41,21,0,12,3,5,19,7,32,14,67,22,26,17,0,13,0,40
c155,3,0,0,1,4,0,2,0,0,2,0,0,0,0,0,0,3,1,6,0,4,0,0,0,0,0,2,1,0,0,7,1,0,6,10,0,0,2
